Røros Hotell,victim,gang,date,Victim Country,Victim sectors,NumberN/AofN/Aemployees,Sales,Ransom Currency,Ransom Paid
18041,mh-mech.com,ransomhub,19/10/2024,USA,Construction,<25,<$5M,,
18040,Michael J Gurfinkel,hunters,19/10/2024,USA,Law,25,<$5M,,
18039,SPECTRUMCHEMICAL.COM,clop,19/10/2024,USA,Retail,250,$117.8M,,
18038,paciente.sempremedico.com.br,ransomhub,19/10/2024,Brazil,Healtcare,N/A,N/A,,
18037,clinicia.com,ransomhub,19/10/2024,India,Software,<25,<$5M,,
18036,KMC Controls,hunters,19/10/2024,USA,Manufacturing,158,$60.3M,,
18035,T-Space,cicada3301,19/10/2024,UK,Construction,<25,<$5M,,
18034,starhealth.in,ransomhub,19/10/2024,India,Insurance,17022,$1.7B,,
18033,Open Range Field Services,sarcoma,19/10/2024,USA,Energy,160,$20.2M,,
18032,Zierick Manufacturing Corporation,sarcoma,19/10/2024,USA,Manufacturing,129,$22.7M,,
18031,Pheim Unit Trusts Berhad,sarcoma,19/10/2024,Malaysia,Insurance,<25,$6.5M,,
18030,ask.vet,killsec,19/10/2024,USA,Healtcare,<25,<$5M,,
18028,Mid State Electric,play,18/10/2024,USA,Commercial,84,$18.4M,,
18027,The Strainrite Companies,play,18/10/2024,USA,Chemicals,77,$16.9M,,
18026,Wilkinson,play,18/10/2024,Canada,Construction,26,$5.9M,,
18025,McCody,play,19/10/2024,USA,Holding ,2915,$790.8M,,
18023,INDIBA Group,cicada3301,18/10/2024,Spain,Manufacturing,151,$27M,,
18022,Absolute Machine Tools,play,18/10/2024,USA,Retail,119,$82.2M,,
18021,Neighbors Credit Union,blacksuit,18/10/2024,USA,Banking,113,$21.5M,,
18020,Fromm (FrommBeauty.com),fog,18/10/2024,USA,Retail,99,$31.7M,,
18019,Astolabs.com,ransomhub,18/10/2024,India,Business,123,$25.8M,,
18018,Ultra Tune (ultratune.com.au),fog,18/10/2024,Australia,Automotive,158,$61.1M,,
18017,Alqaryahauction.com,ransomhub,18/10/2024,UAE,N/A,67,N/A,,
18016,www.qal.com,ransomhub,18/10/2024,USA,Minerals,516,$303.5,,
18014,Luxwood Software Tools,cicada3301,18/10/2024,Canada,Business,<25,$6.6M,,
18013,Racing Forensics Inc,cicada3301,18/10/2024,Canada,Hospitality,292,<$5M,,
18012,RDC Control Ltd,cicada3301,18/10/2024,USA,Manufacturing,134,$41M,,
18011,Dubin Group,cicada3301,18/10/2024,USA,Services,<25,<$5M,,
18010,tripxoxo.com,killsec,18/10/2024,India,Services,65,<$5M,,
18009,www.icp.pr.gov,ransomhub,17/10/2024,Portorico,Governative,280,N/A,,
18008,www.proflex.ro,ransomhub,17/10/2024,Romania,Services,19,N/A,,
18007,CreaGen Inc,everest,18/10/2024,USA,Business,<25,<$5M,,
18006,www.camelotservices.com,ransomhub,17/10/2024,USA,Business,109,$19.8M,,
18005,www.aristoiclassical.org,ransomhub,17/10/2024,USA,Education,96,$8.4M,,
18004,www.kersey.net,ransomhub,17/10/2024,USA,N/A,<25,<$5M,,
18003,www.chiltonisd.org,ransomhub,17/10/2024,USA,Education,86,$7.2M,,
18002,oklahomasleepinstitute.com,threeam,17/10/2024,USA,Healtcare,26,$5.3M,,
18001,Bigpharmacy.com.my,ransomhub,17/10/2024,Malaysia,Healtcare,<25,<$5M,,
18000,HiCare.net,ransomhub,17/10/2024,USA,Manufacturing,<25,<$5M,,
17994,Auxit S.r.l,sarcoma,17/10/2024,Italy,Technologies,8,<5M,,
17992,volohealth.in,killsec,17/10/2024,India,Healtcare,200,N/A,,
17989,Fractal ID,stormous,16/10/2024,Germany,Technologies,<50,N/A,,
17987,Cordogan Clark and Associates (cordoganclark.com),fog,16/10/2024,USA,Construction,89,$14.7M,,
17986,Welker (welker.com),fog,16/10/2024,USA,Manufacturing,95,$26.8M,,
17983,powiatjedrzejow.pl,ransomhub,16/10/2024,Poland,N/A,<25,<$5M,,
17982,"Promise Technology, Inc.",abyss,15/10/2024,USA,Manufacturing,400,$18.5M,,
17981,Horsesportireland.ie,ransomhub,16/10/2024,Ireland,Hospitality,41,$12.4M,,
17980,DoctorsToYou.com,ransomhub,16/10/2024,USA,Healtcare,8,N/A,,
17979,transport-system.com,ransomhub,16/10/2024,Colombia,Transport,59,$19.5M,,
17977,Food Sciences Corporation (foodsciences.com),fog,16/10/2024,USA,Food,101,$29M,,
17976,synertrade.com,cactus,16/10/2024,France,Software,200,$42M,,
17975,Fpapak.org,ransomhub,16/10/2024,Pakistan,Hospitality,2637,$57M,,
17974,G-plans.com,ransomhub,16/10/2024,USA,Services,17,N/A,,
17973,CETRULO,play,16/10/2024,USA,Law,105,$19.2M,,
17972,Nor-Well,play,16/10/2024,USA,Construction,101,$17.3M,,
17971,Kuhn and Associates,play,16/10/2024,USA,Construction,<25,$6.7M,,
17970,moi.gov.ly,killsec,16/10/2024,Libya,Governative,>10000,N/A,,
17969,Henry County Schools,rhysida,15/10/2024,USA,Education,442,$87.7M,,
17968,Boston Children's Health Physicians,bianlian,15/10/2024,USA,Healtcare,3300,$2.5B,,
17967,Lein Law Offices,bianlian,15/10/2024,USA,Law,<25,<$5M,,
17966,Corporate Job Bank,bianlian,15/10/2024,USA,Services,100,$22.8M,,
17963,basarsoft.com.tr,ransomhub,15/10/2024,Turkey,Retail,25,$4.8m,,
17962,Central Pennsylvania Food Bank,fog,15/10/2024,USA,Organization,89,$84.5M,,
17961,Microworks,rhysida,15/10/2024,USA,Technologies,<25,<$5M,,
17960,Parnell Defense,hunters,15/10/2024,USA,Law,<25,<$5M,,
17959,SystemPavers,medusa,15/10/2024,USA,Construction,496,$385.7M,,
17958,Inner City Education Foundation,medusa,15/10/2024,USA,Education,259,$31.1M,,
17957,Ideker,medusa,15/10/2024,USA,Construction,90,<$5M,,
17956,Ultimate Removal,medusa,15/10/2024,USA,Services,30,<$5M,,
17955,Aaren Scientific,hunters,15/10/2024,USA,Manufacturing,80,$26.2M,,
17954,McMunn & Yates Building Suppliesorp,sarcoma,15/10/2024,Canada,Retail,550,$33.1M,,
17953,Nora Biscuits,play,15/10/2024,Netherlands,Retail,145,$21.1M,,
17952,Rescar Companies,play,15/10/2024,USA,Transport,500,$135.8M,,
17951,Concord,play,15/10/2024,USA,Media,503,$257.4M,,
17950,OzarksGo,play,15/10/2024,USA,Telecomunications,<25,$13.9M,,
17949,Byerly Aviation,play,15/10/2024,USA,Transport,35,$7.1M,,
17948,Courtney Construction,play,14/10/2024,USA,Construction,276,$68.3M,,
17947,rudrakshahospitals.com,killsec,14/10/2024,India,Healthcare ,<200,N/A,,
17946,Henneman Engineering,play,14/10/2024,USA,Construction,<25,<$5M,,
17945,Misionero Vegetables,play,14/10/2024,USA,Retail,402,$31.5M,,
17944,Steel Art Signs,play,14/10/2024,Canada,Marketing,95,$40.7M,,
17942,gfm-uk.com,blackbasta,14/10/2024,UK,Marketing,630,$26.5M,,
17941,caseparts.com,blackbasta,14/10/2024,USA,Services,94,N/A,,
17940,compra-aruba.com,eldorado,14/10/2024,Netherlands,Retail,55,$9.7M,,
17938,Astero,meow,14/10/2024,Norway,Banking,<25,<$5M,,
17937,Durham Region,dragonforce,14/10/2024,Canada,Governative,5000,$1.6B,,
17936,medicato.com,ransomhub,14/10/2024,Mexico,Healtcare,15,N/A,,
17935,FUN-LAB,lynx,14/10/2024,Australia,Holding ,879,$120.8M,,
17934,Cathexis Holdings LP,interlock,13/10/2024,USA,Business,131,<$5M,,
17933,Ascires Biomedical Group,stormous,13/10/2024,Spain,Manufacturing,740,<$5M,,
17932,Construction Systems inc,medusa,13/10/2024,USA,Construction,105,$18.1M,,
17931,World Vision Perù,medusa,13/10/2024,Peru,Non profit,314,<$5M,,
17930,Rocky Mountain Gastroenterology,meow,13/10/2024,USA,Healtcare,193,$60.3M,,
17929,Timber,sarcoma,13/10/2024,USA,Marketing,35,<$5M,,
17928,confidencegroup.com.bd,ransomhub,12/10/2024,Bangladesh,Holding ,19732,$291.7M,,
17927,saizeriya.co.jp,ransomhub,12/10/2024,Japan,Hospitality,3980,$1.5B,,
17926,Modiin Ezrachi,meow,12/10/2024,Israel,Business,<25,<$5M,,
17925,OSG Tool,meow,12/10/2024,Japan,Manufacturing,462,<$5M,,
17924,NextStage.AI,ransomhub,12/10/2024,USA,Technologies,<25,<$5M,,
17923,Volta River Authority,blacksuit,11/10/2024,Ghana,Energy,405,$29.7M,,
17922,Rumpke Consolidated Companies,hunters,11/10/2024,USA,Energy,2989,$908.9M,,
17921,Protective Industrial Products,hunters,11/10/2024,USA,Industrial,1700,$1B,,
17920,Therabel Lucien Pharma SAS,hunters,11/10/2024,France,Manufacturing,322,$58.3M,,
17918,Elmore Goldsmith,hunters,11/10/2024,USA,Law,<25,<$5M,,
17913,peorialawyers.com,ransomhub,11/10/2024,USA,Law,<25,<$5M,,
17912,practicesuite.us,ransomhub,11/10/2024,USA,Healtcare,200,$42M,,
17910,Unita Turism,meow,11/10/2024,Romania,Hospitality,292,$139.8M,,
17909,extramarks.com,killsec,10/10/2024,India,Education,3445,$295.4M,,
17907,Axis Health System,rhysida,10/10/2024,USA,Hospitality,269,N/A,,
17906,Doctors Regional Cancer Center,incransom,10/10/2024,USA,Hospitality,1604,$239.1M,,
17905,Structural and Steel Products,hunters,10/10/2024,USA,Minerals,294,$70.5M,,
17904,The Law Office of Omar O Vargas,meow,10/10/2024,USA,Law,<25,<$5M,,
17903,medexhco.com,ransomhub,10/10/2024,USA,Insurance,74,$72.8M,,
17902,Glacier,hunters,10/10/2024,USA,Retail,2500,N/A,,
17901,Doscast,handala,10/10/2024,Israel,Agricolture,110,$8.8M,,
17900,"Casio Computer Co., Ltd",underground,10/10/2024,Japan,Manufacturing,9732,$459.9M,,
17899,Barnes Cohen and Sullivan,meow,10/10/2024,USA,Law,<25,<$5M,,
17898,La Futura,meow,10/10/2024,Italy,Retail,<25,<$5M,,
17897,Atlantic Coast Consulting Inc,meow,10/10/2024,USA,Business,<25,<$5M,,
17895,FortyEighty Architecture,play,10/10/2024,USA,Construction,<25,<$5M,,
17894,RobbJack & Crystallume,play,10/10/2024,USA,Industrial,70,$24M,,
17893,Universal Companies,play,10/10/2024,USA,Holding ,37,$13.8M,,
17892,argofinance.org,killsec,9/10/2024,UK,Finance,62,$18.1M,,
17891,transfoodbeverage.com,killsec,9/10/2024,Indonesia,Services,<25,<$5M,,
17890,Stone Future inc,8base,9/10/2024,USA,Retail,<25,$5.1M,,
17889,Daldoss Elevetronic,8base,9/10/2024,Italy,Industrial,31,$6.3M,,
17888,Futureguard,8base,9/10/2024,USA,Manufacturing,90,$15M,,
17887,Kerkstoel,8base,9/10/2024,Belgium,Retail,81,$5.9M,,
17886,Groupe Bayard,8base,9/10/2024,France,Media,705,$82.5M,,
17885,Volkswagen group,8base,9/10/2024,Germany,Automotive,684025,N/A,,
17884,Island Grill,8base,9/10/2024,Jamaica,Hospitality,772,<$5M,,
17883,ErgoFloor,8base,9/10/2024,Denmark,Retail,170,N/A,,
17882,Hauschild Installationen,8base,9/10/2024,Austria,Industrial,25,$9.1M,,
17881,Evlox,8base,9/10/2024,Spain,Manufacturing,527,$8M,,
17880,Wild Apple Graphics,8base,9/10/2024,USA,Retail,31,$7.9M,,
17879,SCHUMAG AKTIENGESELLSCHAFT,8base,9/10/2024,Germany,Retail,574,$55.6M,,
17878,SOFPO (Exideuil),8base,9/10/2024,France,N/A,N/A,N/A,,
17877,Barbados Gov Breach,pryx,29/9/2024,Barbados,N/A,N/A,N/A,,
17876,Suntrust Properties,sarcoma,9/10/2024,Philippines,Real Estate,332,$12.5M,,
17875,March Elevator,sarcoma,9/10/2024,Canada,Retail,<25,<$5M,,
17874,Elevator One,sarcoma,9/10/2024,Canada,Construction,<10,N/A,,
17873,The Plastic Bag,sarcoma,9/10/2024,Australia,Construction,<25,<$5M,,
17872,Costa Del Sol Hotels,sarcoma,9/10/2024,Kuwait,Hospitality,744,$38.2M,,
17871,Navarra & Marzano,sarcoma,9/10/2024,Italy,N/A,N/A,N/A,,
17870,Jumbo Electronics Qatar,sarcoma,9/10/2024,Qatar,Retail,769,$107.5M,,
17869,EasyPay,sarcoma,9/10/2024,Bermuda,Finance,123,$63.4M,,
17868,Curtidos Barbero,sarcoma,9/10/2024,Spain,Retail,39,$8.9M,,
17867,Lácteos Lorán,sarcoma,9/10/2024,Spain,Retail,<25,<$5M,,
17866,Road Distribution Services,sarcoma,9/10/2024,Australia,Logistics,<25,<$5M,,
17865,Advanced Accounting & Business Advisory,sarcoma,9/10/2024,New Zealand,Services,<25,<$5M,,
17864,Perfection Fresh,sarcoma,9/10/2024,Australia,Agricolture,1944,$263M,,
17863,EARTHWORKS Group,sarcoma,9/10/2024,USA,Construction,25,<$5M,,
17862,Gedco,sarcoma,9/10/2024,Canada,Retail,<25,<$5M,,
17861,The Roberts Family Law Firm,sarcoma,9/10/2024,USA,Law,<25,<$5M,,
17860,Smart Media Group Bulgaria,sarcoma,9/10/2024,Bulgaria,Marketing,<25,<$5M,,
17859,Gmg Mining Supplies,sarcoma,9/10/2024,South Africa,Minerals,66,<$5M,,
17858,Antenne Reunion Radio,sarcoma,9/10/2024,France,Broadcasting,90,$14.1M,,
17857,InCare Technologies,sarcoma,9/10/2024,USA,Technologies,91,$25.7M,,
17856,Rio Marine,sarcoma,9/10/2024,USA,Automotive,105,$19.4M,,
17855,Nora-Lindefrakt,sarcoma,9/10/2024,Sweden,Construction,77,$5M,,
17854,Ciclo Cairu,sarcoma,9/10/2024,Brazil,Technologies,35,$7M,,
17853,Structure-flex,sarcoma,9/10/2024,UK,Manufacturing,84,$20.4M,,
17852,Nexus-Shinozaki,sarcoma,9/10/2024,Japan,Retail,<25,N/A,,
17851,National Edging,sarcoma,9/10/2024,South Africa,Manufacturing,316,$12.3M,,
17850,Importadora Monterrey SRL,sarcoma,9/10/2024,Bolivia,Retail,329,$14.7M,,
17849,AHI Supply,sarcoma,9/10/2024,USA,Manufacturing,144,$27.9M,,
17848,Ferrer & Ojeda,sarcoma,9/10/2024,Spain,Finance,429,$23.1M,,
17847,ICS Nett,sarcoma,9/10/2024,USA,Finance,164,$30.2M,,
17846,CANEA ONE,meow,9/10/2024,USA,Technologies,N/A,N/A,,
17844,FULTON.COM,clop,9/10/2024,USA,Industrial,691,$237.6M,,
17843,"Orbit Software, Inc.",dragonforce,9/10/2024,USA,Technologies,<25,<$5M,,
17842,tankstar.com,lynx,9/10/2024,USA,Logistics,900,$32.7M,,
17841,Universite Paris Sud,ransomhouse,9/10/2024,France,Membership Organizations,522,$45.8M,,
17840,avans.com,killsec,9/10/2024,Mexico,Construction,75,$7.7M,,
17839,Eagle Recovery Associates,play,8/10/2024,USA,Services,26,$6.7M,,
17838,AnVa Industries,play,8/10/2024,Sweden,Retail,297,$51.2M,,
